Id,Date,Time,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
fRTsfDbI,21/09/2024,13:00,FAROE ISLANDS - PREMIER LEAGUE,Vikingur,Streymur,1.04,11.5,30.0,1.23,3.28,2.42,1.53
88zf1U5o,21/09/2024,14:30,FAROE ISLANDS - PREMIER LEAGUE,07 Vestur Sorvagur,B36 Torshavn,3.05,4.0,1.88,1.33,2.73,1.38,2.94
Yq1tFfI8,21/09/2024,12:00,FINLAND - SUOMEN CUP,Inter Turku,KuPS,3.4,3.15,2.18,1.98,1.8,1.72,2.02
WQczyE7L,21/09/2024,09:30,FRANCE - LIGUE 2,Metz,Lorient,2.45,3.25,2.63,1.98,1.88,1.8,1.91
GGbeDYNj,21/09/2024,12:00,FRANCE - DIVISION 1 WOMEN,Reims W,St Etienne W,2.37,3.55,2.47,1.5,2.45,1.4,2.75
G6esyxGc,21/09/2024,12:00,FRANCE - DIVISION 1 WOMEN,Strasbourg W,Dijon W,3.05,3.4,2.05,1.53,2.2,1.5,2.43
OIJGKGVG,21/09/2024,16:00,FRANCE - DIVISION 1 WOMEN,Montpellier W,PSG W,5.6,4.75,1.39,1.3,3.2,1.45,2.55
4nIo8nD6,21/09/2024,08:00,GERMANY - 2. BUNDESLIGA,Braunschweig,Greuther Furth,2.88,3.6,2.3,1.6,2.3,1.53,2.38
pEJP2iyR,21/09/2024,08:00,GERMANY - 2. BUNDESLIGA,Dusseldorf,FC Koln,3.1,3.6,2.15,1.62,2.25,1.53,2.38
QXvaHjjK,21/09/2024,08:00,GERMANY - 2. BUNDESLIGA,Nurnberg,Hertha Berlin,3.2,3.7,2.1,1.53,2.4,1.5,2.5
z7QUBUDs,21/09/2024,15:30,GERMANY - 2. BUNDESLIGA,Kaiserslautern,Hamburger SV,3.1,3.75,2.15,1.5,2.5,1.44,2.63
YaZgJv8j,21/09/2024,09:00,GERMANY - 3. LIGA,Cottbus,Stuttgart II,1.95,3.5,3.4,1.65,2.2,1.62,2.2
xUmOO0pT,21/09/2024,09:00,GERMANY - 3. LIGA,Ingolstadt,RW Essen,1.85,3.6,3.6,1.53,2.4,1.5,2.5
t2fFQMFG,21/09/2024,09:00,GERMANY - 3. LIGA,Mannheim,VfL Osnabruck,2.15,3.5,3.0,1.62,2.25,1.53,2.38
txBOiaEF,21/09/2024,09:00,GERMANY - 3. LIGA,SG Dynamo Dresden,Hansa Rostock,1.65,3.8,4.5,1.75,2.05,1.8,1.91
CrvZtr0c,21/09/2024,09:00,GERMANY - 3. LIGA,Wehen,Sandhausen,1.83,3.7,3.7,1.7,2.1,1.62,2.2
C6MLXwNq,21/09/2024,11:30,GERMANY - 3. LIGA,Arminia Bielefeld,Munich 1860,1.83,3.4,4.0,1.85,2.0,1.73,2.0
t6Qm1E1B,21/09/2024,11:00,GREECE - SUPER LEAGUE,Volos,PAOK,8.0,5.25,1.33,1.6,2.3,1.95,1.8
Ew7v5d2n,21/09/2024,14:00,GREECE - SUPER LEAGUE,Aris,Olympiacos Piraeus,5.5,3.8,1.62,1.85,2.0,1.8,1.95
AwQDldZ2,21/09/2024,14:30,GREECE - SUPER LEAGUE,Panetolikos,Asteras Tripolis,2.3,3.1,3.3,2.2,1.65,1.91,1.91
nc8s66nh,21/09/2024,09:00,GREECE - SUPER LEAGUE 2,AEL Larissa,Kavala,1.41,4.1,8.05,1.9,1.8,2.6,1.47
Gx0b2OoH,21/09/2024,11:00,GREECE - SUPER LEAGUE 2,Ethnikos Neou,Giannina,6.66,4.0,1.45,1.8,1.9,1.94,1.82
rP1j4pH4,21/09/2024,11:00,GREECE - SUPER LEAGUE 2,Kampaniakos,Niki Volos,3.49,3.1,2.02,2.13,1.64,1.92,1.84
ImJC0qCt,21/09/2024,18:00,GUATEMALA - LIGA NACIONAL,Deportivo Mixco,Guastatoya,1.78,3.0,5.2,2.32,1.47,2.07,1.6
jFWJbNtg,21/09/2024,22:00,GUATEMALA - LIGA NACIONAL,Xelaju,Antigua,1.7,3.45,4.65,2.0,1.65,1.93,1.7
MyADD6Vs,21/09/2024,22:00,HONDURAS - LIGA NACIONAL,Juticalpa,Genesis,2.18,3.15,3.0,2.15,1.55,1.92,1.84
EVEV3Eop,21/09/2024,05:00,HONG KONG - PREMIER LEAGUE,Southern District,Tai Po,3.3,3.3,2.07,1.75,1.95,1.6,2.07
MeIw2hGd,21/09/2024,07:30,HONG KONG - PREMIER LEAGUE,Kitchee,Hong Kong Rangers,1.37,4.9,6.4,1.36,2.65,1.55,2.15
0YBKLd2t,21/09/2024,09:30,HUNGARY - OTP BANK LIGA,Zalaegerszegi,Kecskemeti TE,2.2,3.25,3.25,1.88,1.98,1.67,2.1
d05TJzXh,21/09/2024,12:00,HUNGARY - OTP BANK LIGA,Ujpest,DVTK,1.9,3.7,3.8,1.7,2.1,1.62,2.2
A509EueD,21/09/2024,14:30,HUNGARY - OTP BANK LIGA,Nyiregyhaza,Debrecen,2.9,3.4,2.35,1.83,2.03,1.67,2.1
YNawT9bf,21/09/2024,13:00,ICELAND - ICELANDIC CUP,KA Akureyri,Vikingur Reykjavik,4.4,4.05,1.65,1.5,2.42,1.53,2.35
6H1bMky0,21/09/2024,08:30,INDIA - ISL,Jamshedpur,Mumbai City,3.75,3.6,1.83,1.73,2.08,1.67,2.1
hYa6KT5C,21/09/2024,11:00,INDIA - ISL,Mohammedan,Goa,3.25,3.25,2.0,1.9,1.9,1.73,2.0
hxCsZSlU,21/09/2024,05:30,INDONESIA - LIGA 1,Dewa United,Madura United,1.75,3.3,4.55,1.93,1.78,1.78,1.82
Sr6jgWZo,21/09/2024,09:00,INDONESIA - LIGA 1,Malut United,Bali United,2.62,3.1,2.57,1.95,1.75,1.7,1.93
ri8dKOAC,21/09/2024,15:45,IRELAND - PREMIER DIVISION,Sligo Rovers,Dundalk,1.75,3.6,4.1,2.03,1.83,1.91,1.91
YNuJPAT8,21/09/2024,12:00,IRELAND - NATIONAL LEAGUE WOMEN,Shamrock Rovers W,DLR Waves W,1.64,4.0,3.91,1.66,2.05,2.55,1.45
G6NBJ5lg,21/09/2024,13:30,ISRAEL - LIGAT HA'AL,Hapoel Jerusalem,Maccabi Bnei Raina,2.38,3.0,3.0,2.4,1.53,2.0,1.73
zHwoY43n,21/09/2024,13:30,ISRAEL - LIGAT HA'AL,Ironi Tiberias,Sakhnin,2.8,3.1,2.4,2.05,1.75,1.8,1.91
xMBKHqJ5,21/09/2024,14:00,ISRAEL - LIGAT HA'AL,Maccabi Petah Tikva,Hapoel Haifa,3.2,3.3,2.1,1.95,1.9,1.73,2.0
WrXgWrYb,21/09/2024,14:00,ISRAEL - LIGAT HA'AL,Netanya,Kiryat Shmona,2.1,3.5,3.1,1.88,1.98,1.73,2.0
OxASFNmI,21/09/2024,14:30,ISRAEL - LIGAT HA'AL,H. Beer Sheva,Hapoel Hadera,1.62,3.7,5.25,2.05,1.75,2.0,1.73
CAdh390K,21/09/2024,10:00,ITALY - SERIE B,Cosenza,Sassuolo,2.7,3.2,2.63,2.0,1.85,1.75,2.0
YmTmhqhJ,21/09/2024,10:00,ITALY - SERIE B,Palermo,Cesena,2.15,3.2,3.5,2.1,1.7,1.91,1.91
dGBia0an,21/09/2024,10:00,ITALY - SERIE B,Pisa,Brescia,1.91,3.4,4.2,2.15,1.67,1.95,1.8
4tFacvUb,21/09/2024,10:00,ITALY - SERIE B,Reggiana,Salernitana,2.35,3.1,3.2,2.2,1.65,1.91,1.91
Qe38eIbB,21/09/2024,10:00,ITALY - SERIE B,Sampdoria,Sudtirol,1.95,3.25,4.0,2.35,1.57,2.05,1.7
0zVuf5N6,21/09/2024,13:00,ITALY - SERIE B,Modena,Juve Stabia,2.0,3.0,4.1,2.5,1.5,2.1,1.67
lQpXUMfn,21/09/2024,13:30,ITALY - SERIE C,Alcione Milano,L.R. Vicenza,6.1,3.3,1.62,2.32,1.55,2.25,1.57
8S0YS0Pb,21/09/2024,13:30,ITALY - SERIE C,Arzignano,Union Clodiense,2.27,3.05,3.2,2.5,1.47,2.1,1.65
x8hkPION,21/09/2024,13:30,ITALY - SERIE C,Lecco,Triestina,1.93,3.3,3.9,2.32,1.53,2.12,1.65
8tt7s0vh,21/09/2024,13:30,ITALY - SERIE C,Pergolettese,FeralpiSalo,3.15,3.1,2.27,2.22,1.62,1.91,1.8
QDplOGaD,21/09/2024,11:15,ITALY - SERIE C,Legnago Salus,Sestri Levante,2.12,3.0,3.65,2.3,1.57,1.95,1.75
rkHEvxpf,21/09/2024,15:45,ITALY - SERIE C,Pontedera,Arezzo,2.47,3.0,2.92,2.15,1.65,1.8,1.9
SxiIbcyQ,21/09/2024,15:45,ITALY - SERIE C,Torres,Pineto,1.55,3.55,6.5,2.32,1.57,2.35,1.53
GM5E5UaU,21/09/2024,13:30,ITALY - SERIE C,Sorrento,Turris,1.83,3.2,4.5,2.35,1.53,2.12,1.65
fgxXhiGO,21/09/2024,15:45,ITALY - SERIE C,Avellino,Latina,1.5,3.95,6.4,2.0,1.75,2.15,1.62
CU8c9C05,21/09/2024,15:45,ITALY - SERIE C,Cavese,Monopoli,2.18,3.05,3.4,2.07,1.7,1.8,1.91
KzWOPXpn,21/09/2024,15:45,ITALY - SERIE C,Taranto,Altamura,2.32,3.05,3.1,2.15,1.65,1.82,1.88
zJAX4Dml,21/09/2024,06:00,ITALY - PRIMAVERA 1,Lecce U20,Juventus U20,2.37,3.35,2.57,1.6,2.07,1.49,2.54
rqEu3iI0,21/09/2024,08:00,ITALY - PRIMAVERA 1,Monza U20,Lazio U20,3.4,3.55,1.87,1.65,1.98,1.59,2.29
4b2l1VnD,21/09/2024,10:00,ITALY - PRIMAVERA 1,AS Roma U20,Sassuolo U20,1.78,3.7,3.55,1.52,2.22,1.49,2.54
EF4LxT1T,21/09/2024,15:00,IVORY COAST - LIGUE 1,Zoman,Lys Sassandra,2.22,2.8,3.3,2.32,1.47,2.1,1.65
0nmbY909,21/09/2024,06:00,JAPAN - J1 LEAGUE,Kashima Antlers,Kashiwa Reysol,2.05,3.6,3.4,1.93,1.93,1.75,2.0
0AVpP5Ne,21/09/2024,07:00,JAPAN - J1 LEAGUE,Iwata,Avispa Fukuoka,2.88,3.0,2.63,2.4,1.53,2.0,1.75
n3kAV7pS,21/09/2024,07:00,JAPAN - J1 LEAGUE,Machida,Hokkaido Consadole Sapporo,1.55,4.33,5.5,1.73,2.08,1.8,1.95
vwn2XTFF,21/09/2024,07:00,JAPAN - J1 LEAGUE,Urawa Reds,FC Tokyo,1.9,3.5,4.1,1.95,1.9,1.75,2.0
AX0x7j6d,21/09/2024,06:00,JAPAN - J2 LEAGUE,Ehime,Montedio Yamagata,4.0,4.0,1.75,1.65,2.2,1.62,2.2
Ol4JVZrc,21/09/2024,06:00,JAPAN - J2 LEAGUE,Kumamoto,Blaublitz,2.38,3.1,3.1,2.25,1.62,1.91,1.8
CdL1DhTS,21/09/2024,06:00,JAPAN - J2 LEAGUE,Vegalta Sendai,Kofu,2.5,3.25,2.75,2.03,1.83,1.73,2.0
Wt2Y7Wjj,21/09/2024,06:00,JAPAN - J2 LEAGUE,Yokohama FC,Oita Trinita,1.42,4.5,6.5,1.83,2.03,2.0,1.73
lICT8Cyp,21/09/2024,07:00,JAPAN - J2 LEAGUE,Chiba,Renofa Yamaguchi,1.95,3.5,3.8,1.98,1.88,1.8,1.91
rgXDnElB,21/09/2024,00:00,JAPAN - WE LEAGUE WOMEN,Albirex Niigata W,C-Osaka W,1.83,3.1,4.15,2.27,1.5,2.2,1.6
2emFphJN,21/09/2024,02:00,JAPAN - WE LEAGUE WOMEN,Saitama W,Beleza W,6.3,4.25,1.4,1.6,2.05,1.85,1.85
AuZ5lzKb,21/09/2024,02:30,JAPAN - WE LEAGUE WOMEN,JEF United W,Parceiro Nagano W,2.15,3.2,3.0,2.07,1.6,1.85,1.85
YwvouWto,21/09/2024,06:00,JAPAN - WE LEAGUE WOMEN,Sanfrecce Hiroshima W,Mynavi Sendai W,1.65,3.35,4.8,1.82,1.82,1.85,1.85
4IWaR8sr,21/09/2024,13:00,JORDAN - PREMIER LEAGUE,Al Wehdat,Al-Faisaly Amman,2.55,3.25,2.57,1.8,1.91,1.6,2.07
8hY42L0S,21/09/2024,09:00,KAZAKHSTAN - PREMIER LEAGUE,Atyrau,Zhenis,1.75,3.3,4.7,2.05,1.62,1.93,1.7
U1Z031oM,21/09/2024,11:00,KAZAKHSTAN - PREMIER LEAGUE,Kairat Almaty,Kaisar Kyzylorda,1.7,3.4,4.9,1.93,1.78,1.82,1.78
K2Gq2njT,21/09/2024,07:00,KENYA - PREMIER LEAGUE,Posta Rangers,KCB,2.65,2.8,2.65,2.32,1.47,2.02,1.75
Wtp2KT5c,21/09/2024,09:00,KENYA - PREMIER LEAGUE,Mara Sugar,Nairobi City,2.7,2.8,2.62,2.25,1.5,1.95,1.81
GY1FdQDj,21/09/2024,09:00,KENYA - PREMIER LEAGUE,Mathare Utd.,Sofapaka,2.65,2.87,2.6,2.25,1.5,1.95,1.81
0MyJGo5M,21/09/2024,10:00,KENYA - PREMIER LEAGUE,Bidco United,Leopards,2.52,2.87,2.75,2.25,1.5,1.97,1.79
C6pXKHVR,21/09/2024,08:00,LATVIA - VIRSLIGA,Tukums 2000,BFC Daugavpils,2.6,3.1,2.5,1.8,1.83,1.65,2.18
KE28jruB,21/09/2024,09:00,LITHUANIA - A LYGA,Transinvest,Siauliai FA,2.05,3.4,3.05,1.85,1.78,1.71,2.08
WQBBdj5C,21/09/2024,12:00,LUXEMBOURG - BGL LIGUE,Fola,Hostert,2.3,3.6,2.52,1.53,2.2,1.48,2.57
viFJfUZO,21/09/2024,12:00,LUXEMBOURG - BGL LIGUE,UNA Strassen,Dudelange,2.9,3.35,2.15,1.62,2.02,1.56,2.36
GlpUEXKt,21/09/2024,13:00,LUXEMBOURG - BGL LIGUE,Racing Luxembourg,Mondorf,2.15,3.35,2.85,1.53,2.2,1.49,2.54
WQVS3S6n,21/09/2024,09:30,MALAWI - SUPER LEAGUE,Mighty Wanderers,Baka City,1.13,5.9,17.0,1.65,1.98,2.88,1.39
jsqlItdB,21/09/2024,06:30,MALAYSIA - SUPER LEAGUE,PDRM FC,Sabah,3.0,3.35,2.1,1.75,1.9,1.63,2.22
AqakGKQN,21/09/2024,09:15,MALAYSIA - SUPER LEAGUE,Perak,Kuala Lumpur City,3.35,3.5,1.9,1.65,1.98,1.61,2.25
xQorB3b5,21/09/2024,13:00,MALTA - PREMIER LEAGUE,Gzira,Sliema,3.95,3.05,1.98,2.25,1.5,1.98,1.65
tbhZCPTh,21/09/2024,15:30,MALTA - PREMIER LEAGUE,Balzan,Hamrun,5.2,4.1,1.53,1.7,1.93,1.78,1.82
YZJ1r7Sa,21/09/2024,20:00,MEXICO - LIGA MX,Club Leon,Atl. San Luis,2.05,3.5,3.6,1.7,2.1,1.62,2.2
2FBIvPRO,21/09/2024,22:00,MEXICO - LIGA MX,Monterrey,Mazatlan FC,1.53,4.1,6.5,1.7,2.1,1.8,1.95
U1DAtocC,21/09/2024,22:00,MEXICO - LIGA MX,Necaxa,Club America,3.6,3.5,2.05,1.88,1.98,1.7,2.05
AZy3uyWa,21/09/2024,00:00,MEXICO - LIGA DE EXPANSION MX,Tepatitlan de Morelos,Correcaminos,1.72,3.7,4.25,1.7,1.91,1.7,1.93
ERYJygVO,21/09/2024,22:00,MEXICO - LIGA DE EXPANSION MX,Tlaxcala,Tapatio,2.57,3.15,2.6,1.93,1.78,1.65,1.98
SWoME8gs,21/09/2024,14:00,MOROCCO - BOTOLA PRO,Hassania Agadir,Renaissance Zemamra,2.4,3.0,2.75,2.4,1.53,2.0,1.73
zyYzXiN8,21/09/2024,11:30,NETHERLANDS - EERSTE DIVISIE,Roda,Maastricht,1.7,3.8,4.5,1.5,2.5,1.5,2.5
r1yqVViL,21/09/2024,13:45,NETHERLANDS - EERSTE DIVISIE,Vitesse,Jong Ajax,1.9,3.8,3.6,1.44,2.7,1.44,2.63
nyFeD2aN,21/09/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Ballymena,Cliftonville,3.7,3.7,1.85,1.78,1.98,1.72,2.02
6LeS7tNp,21/09/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Coleraine,Loughgall,1.55,4.3,5.0,1.55,2.3,1.65,2.1
YRmEVqFi,21/09/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Crusaders,Portadown,1.38,4.65,7.1,1.65,2.15,1.93,1.78
fsxNTNq4,21/09/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glenavon,Dungannon,2.67,3.55,2.35,1.7,2.07,1.57,2.25
M9729gbk,21/09/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Linfield,Carrick Rangers,1.24,5.7,10.5,1.44,2.6,1.9,1.8
d642idvB,21/09/2024,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Armagh,Bangor FC,3.55,4.05,1.78,1.37,2.62,1.39,2.57
4W7Akz9N,21/09/2024,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Dundela,Annagh,2.07,3.95,2.82,1.44,2.42,1.42,2.45
l4qspEWp,21/09/2024,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Institute,Newington,1.87,3.95,3.3,1.5,2.27,1.5,2.27
UPVLGxM0,21/09/2024,11:00,NORWAY - ELITESERIEN,Stromsgodset,Sarpsborg 08,2.0,3.75,3.4,1.44,2.7,1.44,2.63
l8Fuy77F,21/09/2024,13:00,NORWAY - ELITESERIEN,HamKam,Lillestrom,2.63,3.3,2.63,1.85,2.0,1.62,2.2
M5aHUgMF,21/09/2024,10:00,NORWAY - OBOS-LIGAEN,Kongsvinger,Aalesund,1.8,3.9,3.3,1.57,2.35,1.53,2.38
K0s4Lkq2,21/09/2024,11:00,NORWAY - OBOS-LIGAEN,Asane,Mjondalen,2.1,3.6,2.9,1.67,2.15,1.57,2.25
rF0DVZ69,21/09/2024,11:00,NORWAY - OBOS-LIGAEN,Bryne,Valerenga,3.6,3.75,1.85,1.73,2.08,1.67,2.1
ju4LTDyM,21/09/2024,11:00,NORWAY - OBOS-LIGAEN,Levanger,Raufoss,1.9,3.7,3.25,1.75,2.05,1.67,2.1
zDuhOiaq,21/09/2024,11:00,NORWAY - OBOS-LIGAEN,Ranheim,Moss,2.05,3.5,2.9,1.7,2.1,1.62,2.2
nmqdNBEk,21/09/2024,11:00,NORWAY - OBOS-LIGAEN,Sandnes,Sogndal,3.4,3.6,1.85,1.62,2.25,1.57,2.25
tAr0MVTe,21/09/2024,11:00,NORWAY - OBOS-LIGAEN,Stabaek,Start,1.65,4.2,3.7,1.36,3.1,1.4,2.75
hjaKeCB9,21/09/2024,09:00,NORWAY - TOPPSERIEN WOMEN,Arna-Bjornar W,Asane W,3.4,3.4,1.93,1.75,1.88,1.65,2.1
Ygtxx64M,21/09/2024,09:00,NORWAY - TOPPSERIEN WOMEN,Kolbotn W,Rosenborg W,9.5,4.9,1.25,1.6,2.07,2.1,1.65
GIVtyQJS,21/09/2024,09:00,NORWAY - TOPPSERIEN WOMEN,Lyn W,LSK Kvinner W,2.52,3.25,2.47,1.91,1.7,1.75,1.95
f3sYxnkG,21/09/2024,11:45,NORWAY - TOPPSERIEN WOMEN,Brann W,Roa W,1.09,6.6,24.0,1.52,2.2,2.6,1.44
nNZ4u4gt,21/09/2024,11:40,OMAN - PROFESSIONAL LEAGUE,Al Nahda,Bahla,1.5,3.5,6.5,2.07,1.6,2.33,1.57
42Mfuw5T,21/09/2024,18:00,PANAMA - LPF,UMECIT,Plaza Amador,2.87,2.9,2.52,2.4,1.45,2.0,1.65
0Y7QZGSj,21/09/2024,20:00,PANAMA - LPF,Deportivo Universitario,Miguelito,2.35,3.2,2.85,2.15,1.55,1.93,1.7
8zTosazH,21/09/2024,22:15,PANAMA - LPF,Arabe Unido,Herrera,1.8,3.4,4.2,1.98,1.65,1.88,1.72
nuuSNmum,21/09/2024,18:30,PARAGUAY - PRIMERA DIVISION,Sportivo Trinidense,Nacional Asuncion,2.55,3.1,2.55,1.9,1.85,1.8,1.91
r7YzMR9a,21/09/2024,21:00,PARAGUAY - PRIMERA DIVISION,Ameliano,Cerro Porteno,5.5,3.75,1.53,2.15,1.67,2.2,1.62
t0mzsGEl,21/09/2024,20:30,PERU - LIGA 1,Deportivo Garcilaso,Cienciano,2.25,3.25,3.0,2.05,1.75,1.75,1.98
zNQ8QfU7,21/09/2024,22:30,PERU - LIGA 1,Sport Boys,Alianza Lima,7.0,3.6,1.5,2.1,1.7,2.2,1.62
O6gmjwrp,21/09/2024,07:15,POLAND - EKSTRAKLASA,Puszcza,Cracovia,2.9,3.3,2.35,1.97,1.77,1.75,2.0
OrB0asLc,21/09/2024,09:45,POLAND - EKSTRAKLASA,Jagiellonia,Lechia Gdansk,1.62,3.9,5.0,1.57,2.35,1.62,2.2
vegi8x4S,21/09/2024,12:30,POLAND - EKSTRAKLASA,Widzew Lodz,Piast Gliwice,2.7,3.25,2.55,2.08,1.73,1.8,1.95
rmYDyvTj,21/09/2024,15:15,POLAND - EKSTRAKLASA,Gornik Zabrze,GKS Katowice,2.2,3.3,3.3,1.93,1.93,1.7,2.05
hGhizfBk,21/09/2024,09:30,POLAND - DIVISION 1,Warta Poznan,Arka Gdynia,4.75,3.6,1.7,2.03,1.83,1.91,1.8
hUXPlgQr,21/09/2024,12:30,POLAND - DIVISION 1,Termalica B-B.,LKS Lodz,1.91,3.25,3.6,1.8,2.0,1.67,2.1
MX1LuGmS,21/09/2024,14:35,POLAND - DIVISION 1,Kotwica Kolobrzeg,Leczna,2.9,3.1,2.38,2.1,1.7,1.83,1.83
dEUaYdKr,21/09/2024,11:30,PORTUGAL - LIGA PORTUGAL,Rio Ave,Estoril,1.91,3.4,4.1,2.4,1.53,2.2,1.62
4dqrYmQa,21/09/2024,11:30,PORTUGAL - LIGA PORTUGAL,Santa Clara,Estrela,1.75,3.5,5.0,2.1,1.7,2.0,1.75
0OxiWRfC,21/09/2024,14:00,PORTUGAL - LIGA PORTUGAL,Vitoria Guimaraes,FC Porto,3.5,3.1,2.2,2.2,1.65,1.91,1.91
URS7Wzke,21/09/2024,16:30,PORTUGAL - LIGA PORTUGAL,Moreirense,Famalicao,2.55,3.0,3.0,2.35,1.57,1.95,1.8
CrKfYpXm,21/09/2024,07:00,PORTUGAL - TAÇA DE PORTUGAL,Anadia,CD Rabo Peixe,1.36,4.2,7.5,1.65,2.2,1.9,1.86
tSoakOkk,21/09/2024,07:00,PORTUGAL - TAÇA DE PORTUGAL,SC Vianense,Portimonense,6.0,4.33,1.4,1.67,2.15,1.83,1.83
CtHgqf1b,21/09/2024,10:00,PORTUGAL - TAÇA DE PORTUGAL,Pevidem,Maritimo,7.0,4.2,1.36,1.7,2.1,1.91,1.8
ERlohkpT,21/09/2024,11:00,PORTUGAL - TAÇA DE PORTUGAL,Montijo,Mafra,12.0,7.0,1.17,1.44,2.7,1.97,1.79
boND09Fm,21/09/2024,12:00,PORTUGAL - TAÇA DE PORTUGAL,Tirsense,Vieira,1.4,5.0,5.0,1.75,2.05,1.93,1.83
vTIooGWo,21/09/2024,12:15,PORTUGAL - TAÇA DE PORTUGAL,Camacha,Leiria,6.5,4.75,1.33,1.65,2.2,1.91,1.8
bBO2GqEn,21/09/2024,15:30,PORTUGAL - TAÇA DE PORTUGAL,Academica,Torreense,4.0,3.5,1.73,1.85,1.95,1.8,1.91
SY8bNwy8,21/09/2024,12:00,QATAR - QSL,Al-Duhail,Al-Sadd,2.32,3.95,2.5,1.35,2.95,1.34,3.0
SWDISYCm,21/09/2024,14:00,QATAR - QSL,Al Khor,Shamal,3.15,3.5,2.1,1.62,2.2,1.52,2.37
6JKkPa6e,21/09/2024,14:00,QATAR - QSL,Umm-Salal,Al-Shahaniya,1.9,3.4,3.85,1.72,2.05,1.62,2.18
jT19AerR,21/09/2024,12:30,ROMANIA - LIGA 1,FC Hermannstadt,CFR Cluj,3.75,3.3,1.91,2.15,1.67,1.91,1.8
27LElEL7,21/09/2024,15:30,ROMANIA - LIGA 1,FCSB,Petrolul,1.5,4.0,5.5,2.03,1.83,2.1,1.67
